gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,costat,ggroup,gind,gsector,gsubind,naics,sic
035101,20191231,2019,INDL,C,D,STD,SPFI,SOUTH PLAINS FINANCIAL INC,USD,A,4010,401010,40,40101015,522110,6020
035102,20191231,2019,INDL,C,D,STD,CRTX,CORTEXYME INC,USD,A,3520,352010,35,35201010,325414,2836
035120,20191231,2019,INDL,C,D,STD,FSLY,FASTLY INC,USD,A,4510,451020,45,45102030,519130,7370
035133,20200131,2019,INDL,C,D,STD,WORK,SLACK TECHNOLOGIES INC,USD,A,4510,451030,45,45103010,519130,7370
035136,20191231,2019,INDL,C,D,STD,IDYA,IDEAYA BIOSCIENCES INC,USD,A,3520,352010,35,35201010,325414,2836
035158,20191231,2019,INDL,C,D,STD,PSN,PARSONS CORP,USD,A,2010,201010,20,20101010,519130,7370
035168,20191231,2019,INDL,C,D,STD,CTVA,CORTEVA INC,USD,A,1510,151010,15,15101030,111,0100
035182,20200131,2019,INDL,C,D,STD,CRWD,CROWDSTRIKE HOLDINGS INC,USD,A,4510,451030,45,45103020,518210,7370
035254,20191231,2019,INDL,C,D,STD,PSNL,PERSONALIS INC,USD,A,3520,352030,35,35203010,325413,2835
035255,20191231,2019,INDL,C,D,STD,STOK,STOKE THERAPEUTICS INC,USD,A,3520,352010,35,35201010,325414,2836
035264,20191231,2019,INDL,C,D,STD,BBIO,BRIDGEBIO PHARMA INC,USD,A,3520,352010,35,35201010,325414,2836
035267,20191231,2019,INDL,C,D,STD,AKRO,AKERO THERAPEUTICS INC,USD,A,3520,352010,35,35201010,325414,2836
035270,20191231,2019,INDL,C,D,STD,BCEL,ATRECA INC,USD,A,3520,352010,35,35201010,325414,2836
035279,20191231,2019,INDL,C,D,STD,ADPT,ADAPTIVE BIOTECH CORP,USD,A,3520,352030,35,35203010,325413,2835
035280,20191231,2019,INDL,C,D,STD,MORF,MORPHIC HOLDING INC,USD,A,3520,352010,35,35201010,325414,2836
035288,20191231,2019,INDL,C,D,STD,REAL,REALREAL INC (THE),USD,A,2550,255020,25,25502020,519130,7370
035290,20191231,2019,INDL,C,D,STD,KRTX,KARUNA THERPEUTICS INC,USD,A,3520,352010,35,35201010,325412,2834
035306,20191231,2019,INDL,C,D,STD,INBX,INHIBRX INC,USD,A,3520,352010,35,35201010,325414,2836
035373,20191231,2019,INDL,C,D,STD,CMBM,CAMBIUM NETWORKS CORP,USD,A,4520,452010,45,45201020,334220,3663
035374,20200131,2019,INDL,C,D,STD,MDLA,MEDALLIA INC,USD,A,4510,451030,45,45103010,518210,7370
035376,20191231,2019,INDL,C,D,STD,FULC,FULCRUM THERAPEUTICS INC,USD,A,3520,352020,35,35202010,325414,2836
035377,20200131,2019,INDL,C,D,STD,PHR,PHREESIA INC,USD,A,3510,351030,35,35103010,519130,7370
035391,20191231,2019,INDL,C,D,STD,HCAT,HEALTH CATALYST INC,USD,A,3510,351030,35,35103010,518210,7370
035395,20191231,2019,INDL,C,D,STD,NOVA,SUNNOVA ENRGY INTL INC,USD,A,5510,551050,55,55105020,221114,4991
035396,20191231,2019,INDL,C,D,STD,CSTL,CASTLE BIOSCIENCES INC,USD,A,3510,351020,35,35102015,621511,8071
035404,20191231,2019,INDL,C,D,STD,PROS,PROSIGHT GLOBAL INC,USD,A,4030,403010,40,40301040,524126,6331
035429,20191231,2019,INDL,C,D,STD,RAPT,RAPT THERAPEUTICS INC,USD,A,3520,352010,35,35201010,325414,2836
035447,20200331,2019,INDL,C,D,STD,DT,DYNATRACE INC,USD,A,4510,451030,45,45103010,519130,7370
035451,20190930,2019,INDL,C,D,STD,ONEW,ONEWATER MARINE INC,USD,A,2550,255040,25,25504050,44122,5500
035455,20191231,2019,INDL,C,D,STD,CFB,CROSSFIRST BANKSHARES INC,USD,A,4010,401010,40,40101015,522110,6020
035471,20191231,2019,INDL,C,D,STD,OPRT,OPORTUN FINANCIAL CORP,USD,A,4020,402020,40,40202010,522291,6141
035497,20191231,2019,INDL,C,D,STD,NVST,ENVISTA HOLDINGS CORP,USD,A,3510,351010,35,35101010,339114,3843
035543,20191231,2019,INDL,C,D,STD,OPCH,OPTION CARE HEALTH INC,USD,A,3510,351020,35,35102015,621498,8090
035600,20191231,2019,INDL,C,D,STD,SWTX,SPRINGWORKS THERAPEUTICS INC,USD,A,3520,352010,35,35201010,325414,2836
035604,20191231,2019,INDL,C,D,STD,NET,CLOUDFLARE INC,USD,A,4510,451030,45,45103020,519130,7370
035614,20190930,2019,INDL,C,D,STD,CRNC,CERENCE INC,USD,A,4510,451030,45,45103010,511210,7372
035617,20191231,2019,INDL,C,D,STD,PING,PING IDENTITY HOLDING CORP,USD,A,4510,451030,45,45103020,519130,7370
035620,20191231,2019,INDL,C,D,STD,DDOG,DATADOG INC,USD,A,4510,451030,45,45103010,519130,7370
035627,20190630,2019,INDL,C,D,STD,PTON,PELOTON INTERACTIVE INC,USD,A,2520,252020,25,25202010,339920,3949
035638,20191231,2019,INDL,C,D,STD,VIR,VIR BIOTECHNOLOGY INC,USD,A,3520,352010,35,35201010,325414,2836
035639,20191231,2019,INDL,C,D,STD,IGMS,IGM BIOSCIENCES INC,USD,A,3520,352010,35,35201010,325414,2836
035640,20191231,2019,INDL,C,D,STD,TXG,10X GENOMICS INC,USD,A,3520,352030,35,35203010,325413,2835
035642,20191231,2019,INDL,C,D,STD,PNTG,PENNANT GROUP INC (THE),USD,A,3510,351020,35,35102020,623,8050
035647,20191231,2019,INDL,C,D,STD,FREQ,FREQUENCY THERAPEUTICS INC,USD,A,3520,352010,35,35201010,325414,2836
035648,20191231,2019,INDL,C,D,STD,APRE,APREA THERAPEUTICS INC,USD,A,3520,352010,35,35201010,325414,2836
035684,20190930,2019,INDL,C,D,STD,BRBR,BELLRING BRANDS INC,USD,A,3030,303020,30,30302010,312111,2000
035708,20191231,2019,INDL,C,D,STD,PGNY,PROGYNY INC,USD,A,3510,351020,35,35102030,621999,8090
035714,20191231,2019,INDL,C,D,STD,BEAM,BEAM THERAPEUTICS INC,USD,A,3520,352010,35,35201010,325414,2836
035728,20191231,2019,INDL,C,D,STD,PHAT,PHATHOM PHARMA INC,USD,A,3520,352020,35,35202010,325414,2836
035729,20191231,2019,INDL,C,D,STD,FDMT,4D MOLECULAR THER INC,USD,A,3520,352010,35,35201010,325414,2836
035747,20191231,2019,INDL,C,D,STD,OYST,OYSTER POINT PHARM INC,USD,A,3520,352010,35,35201010,325414,2836
035759,20191231,2019,INDL,C,D,STD,HBT,HBT FINANCIAL INC,USD,A,4010,401010,40,40101015,522110,6020
035776,20191231,2019,INDL,C,D,STD,ETNB,89BIO INC,USD,A,3520,352010,35,35201010,325414,2836
035794,20191231,2019,INDL,C,D,STD,SITM,SITIME CORP,USD,A,4530,453010,45,45301020,334413,3674
035808,20191231,2019,INDL,C,D,STD,SPCE,VIRGIN GALACTIC HOLDINGS INC,USD,A,2010,201010,20,20101010,488999,4700
035852,20191231,2019,INDL,C,D,STD,AHCO,ADAPTHEALTH CORP,USD,A,3510,351020,35,35102010,423450,5047
035867,20191231,2019,INDL,C,D,STD,BRMK,BROADMARK REALTY CAPITAL INC,USD,A,4020,402040,40,40204010,525990,6798
035868,20190630,2019,INDL,C,D,STD,BILL,BILL.COM HOLDINGS INC,USD,A,4510,451030,45,45103010,518210,7370
035874,20191231,2019,INDL,C,D,STD,REYN,REYNOLDS CONSUMER PRODUCTS,USD,A,3030,303010,30,30301010,3222,2673
035882,20191231,2019,INDL,C,D,STD,BIPC,BROOKFIELD INFRASTRCTR,USD,A,5510,551020,55,55102010,221210,4932
035922,20191231,2019,INDL,C,D,STD,SPT,SPROUT SOCIAL INC,USD,A,4510,451030,45,45103010,518210,7370
035978,20191231,2019,INDL,C,D,STD,ARNC,ARCONIC CORP,USD,A,1510,151040,15,15104010,3313,3350
035982,20200331,2019,INDL,C,D,STD,IMVT,IMMUNOVANT INC,USD,A,3520,352010,35,35201010,325414,2836
036025,20191231,2019,INDL,C,D,STD,ONEM,1LIFE HEALTHCARE INC,USD,A,3510,351020,35,35102015,621112,8011
036028,20191231,2019,INDL,C,D,STD,ARQT,ARCUTIS BIOTHERAPEUTICS INC,USD,A,3520,352010,35,35201010,325412,2834
036049,20191231,2019,INDL,C,D,STD,PPD,PPD INC,USD,A,3520,352030,35,35203010,541714,8731
036051,20191231,2019,INDL,C,D,STD,SDGR,SCHRODINGER INC,USD,A,3510,351030,35,35103010,511210,7372
036052,20191231,2019,INDL,C,D,STD,BDTX,BLACK DIAMOND THERAPEUTICS,USD,A,3520,352010,35,35201010,325414,2836
036083,20191231,2019,INDL,C,D,STD,RVMD,REVOLUTION MEDICINES INC,USD,A,3520,352010,35,35201010,325414,2836
036140,20191231,2019,INDL,C,D,STD,PASG,PASSAGE BIO INC,USD,A,3520,352010,35,35201010,325414,2836
036175,20191231,2019,INDL,C,D,STD,VRT,VERTIV HOLDINGS CO,USD,A,2010,201040,20,20104010,334419,3679
036180,20191231,2019,INDL,C,D,STD,PAE,PAE INC,USD,A,2010,201010,20,20101010,5419,8700
036190,20191231,2019,INDL,C,D,STD,OTIS,OTIS WORLDWIDE CORP,USD,A,2010,201060,20,20106020,333921,3530
036191,20191231,2019,INDL,C,D,STD,CARR,CARRIER GLOBAL CORP,USD,A,2010,201020,20,20102010,333415,3585
036193,20190930,2019,INDL,C,D,STD,AZEK,AZEK COMPANY INC (THE),USD,A,2010,201020,20,20102010,32191,2430
036203,20191231,2019,INDL,C,D,STD,VNT,VONTIER CORP,USD,A,4520,452030,45,45203010,334514,3824
036206,20191231,2019,INDL,C,D,STD,ALTG,ALTA EQUIPMENT GROUP INC,USD,A,2010,201070,20,20107010,4238,5080
036234,20190630,2019,INDL,C,D,STD,SLQT,SELECTQUOTE INC,USD,A,4030,403010,40,40301010,524210,6411
036236,20191231,2019,INDL,C,D,STD,NARI,INARI MEDICAL INC,USD,A,3510,351010,35,35101010,339112,3841
036260,20191231,2019,INDL,C,D,STD,LUNG,PULMONX CORP,USD,A,3510,351010,35,35101020,339112,3841
036263,20200229,2019,INDL,C,D,STD,ACCD,ACCOLADE INC,USD,A,3510,351020,35,35102015,621999,8090
036264,20191231,2019,INDL,C,D,STD,ORIC,ORIC PHARMACEUTICALS,USD,A,3520,352010,35,35201010,325414,2836
036293,20191231,2019,INDL,C,D,STD,GDYN,GRID DYNAMICS HOLDGS INC,USD,A,4510,451020,45,45102010,54151,7370
036301,20191231,2019,INDL,C,D,STD,ZNTL,ZENTALIS PHARMACEUTICALS INC,USD,A,3520,352010,35,35201010,325414,2836
036309,20190630,2019,INDL,C,D,STD,MSGE,MADISON SQUARE GARD ENT,USD,A,5020,502020,50,50202010,711,7900
036328,20191231,2019,INDL,C,D,STD,KROS,KEROS THERAPEUTICS INC,USD,A,3520,352010,35,35201010,325412,2834
036464,20191231,2019,INDL,C,D,STD,PLRX,PLIANT THERAPEUTICS IN,USD,A,3520,352020,35,35202010,325412,2834
036473,20191231,2019,INDL,C,D,STD,RNA,AVIDITY BIOSCIENCE INC,USD,A,3520,352010,35,35201010,325414,2836
036474,20191231,2019,INDL,C,D,STD,RPRX,ROYALTY PHARMA PLC,USD,A,3520,352020,35,35202010,325412,2834
036496,20191231,2019,INDL,C,D,STD,AMTI,APPLIED MOLEC TRAN INC,USD,A,3520,352010,35,35201010,325414,2836
036512,20191231,2019,INDL,C,D,STD,VRM,VROOM INC,USD,A,2550,255040,25,25504050,519130,7370
036550,20191231,2019,INDL,C,D,STD,ACEL,ACCEL ENTERTAINMENT INC,USD,A,2530,253010,25,25301010,713,7990
036555,20191231,2019,INDL,C,D,STD,FMTX,FORMA THERA HOLDIN INC,USD,A,3520,352010,35,35201010,325414,2836
036572,20191231,2019,INDL,C,D,STD,AKUS,AKOUOS INC,USD,A,3520,352010,35,35201010,325414,2836
036599,20191231,2019,INDL,C,D,STD,GBIO,GENERATION BIO CO,USD,A,3520,352010,35,35201010,325414,2836
036600,20191231,2019,INDL,C,D,STD,PCVX,VAXCYTE INC,USD,A,3520,352010,35,35201010,325414,2836
036633,20191231,2019,INDL,C,D,STD,EBC,EASTERN BANKSHARES INC,USD,A,4010,401010,40,40101015,522110,6020
036635,20191231,2019,INDL,C,D,STD,GOCO,GOHEALTH INC,USD,A,4030,403010,40,40301010,524210,6411
036641,20191231,2019,INDL,C,D,STD,RXT,RACKSPACE TECHNOLO INC,USD,A,4510,451020,45,45102030,518210,7370
036642,20191231,2019,INDL,C,D,STD,NKTX,NKARTA INC,USD,A,3520,352010,35,35201010,325414,2836
