gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,fyr,at,revt,sale,cik,costat,ggroup,gind,gsector,gsubind,naics,sic
001704,20161031,2016,INDL,C,D,STD,AMAT,038222105,APPLIED MATERIALS INC,USD,10,14588.0000,10825.0000,10825.0000,0000006951,A,4530,453010,45,45301010,333242,3559
001704,20171031,2017,INDL,C,D,STD,AMAT,038222105,APPLIED MATERIALS INC,USD,10,19419.0000,14537.0000,14537.0000,0000006951,A,4530,453010,45,45301010,333242,3559
001704,20181031,2018,INDL,C,D,STD,AMAT,038222105,APPLIED MATERIALS INC,USD,10,17773.0000,17253.0000,17253.0000,0000006951,A,4530,453010,45,45301010,333242,3559
001704,20191031,2019,INDL,C,D,STD,AMAT,038222105,APPLIED MATERIALS INC,USD,10,19024.0000,14608.0000,14608.0000,0000006951,A,4530,453010,45,45301010,333242,3559
001704,20201031,2020,INDL,C,D,STD,AMAT,038222105,APPLIED MATERIALS INC,USD,10,22353.0000,17202.0000,17202.0000,0000006951,A,4530,453010,45,45301010,333242,3559
001878,20110131,2010,INDL,C,D,STD,ADSK,052769106,AUTODESK INC,USD,1,2787.6000,1951.8000,1951.8000,0000769397,A,4510,451030,45,45103010,519130,7370
001878,20120131,2011,INDL,C,D,STD,ADSK,052769106,AUTODESK INC,USD,1,3227.8000,2215.6000,2215.6000,0000769397,A,4510,451030,45,45103010,519130,7370
001878,20130131,2012,INDL,C,D,STD,ADSK,052769106,AUTODESK INC,USD,1,4308.4000,2312.2000,2312.2000,0000769397,A,4510,451030,45,45103010,519130,7370
001878,20140131,2013,INDL,C,D,STD,ADSK,052769106,AUTODESK INC,USD,1,4595.0000,2273.9000,2273.9000,0000769397,A,4510,451030,45,45103010,519130,7370
001878,20150131,2014,INDL,C,D,STD,ADSK,052769106,AUTODESK INC,USD,1,4913.8000,2512.2000,2512.2000,0000769397,A,4510,451030,45,45103010,519130,7370
001878,20160131,2015,INDL,C,D,STD,ADSK,052769106,AUTODESK INC,USD,1,5515.3000,2504.1000,2504.1000,0000769397,A,4510,451030,45,45103010,519130,7370
001878,20170131,2016,INDL,C,D,STD,ADSK,052769106,AUTODESK INC,USD,1,4798.1000,2031.0000,2031.0000,0000769397,A,4510,451030,45,45103010,519130,7370
001878,20180131,2017,INDL,C,D,STD,ADSK,052769106,AUTODESK INC,USD,1,4113.6000,2056.6000,2056.6000,0000769397,A,4510,451030,45,45103010,519130,7370
001878,20190131,2018,INDL,C,D,STD,ADSK,052769106,AUTODESK INC,USD,1,4729.2000,2569.8000,2569.8000,0000769397,A,4510,451030,45,45103010,519130,7370
001878,20200131,2019,INDL,C,D,STD,ADSK,052769106,AUTODESK INC,USD,1,6179.3000,3274.3000,3274.3000,0000769397,A,4510,451030,45,45103010,519130,7370
